text,label
"Eke, the python, silently slithers through the grass.",0
"Nkịta, the dog, barks loudly to alert its owner.",0
"Ewu, the goat, grazes peacefully in the meadow.",0
"Ọkụkọ, the chicken, clucks while searching for food.",0
"Enyi, the elephant, majestically walks through the forest.",0
"Ọgazị, the guinea fowl, struts proudly in the yard.",0
"Nkịta ọhịa, the hyena, howls in the distance.",0
"Ududo, the spider, weaves an intricate web in the corner.",0
"Ugo, the eagle, soars high in the sky.",0
"Ebi ogwu, the porcupine, cautiously moves through the bushes.",0
"Nnekwu, the hen, diligently cares for her chicks.",0
"Agụ, the leopard, gracefully moves through the jungle.",0
"Ọkwa, the goose, swims peacefully in the pond.",0
"Enyi mmiri, the hippopotamus, rests by the riverbank.",0
"Nduru, the pigeon, coos softly on the windowsill.",0
"Eji ebu, the wasp, buzzes around the flowers.",0
"Icheoku, the parrot, mimics various tunes delightfully.",0
"Eji ọkpọ, the praying mantis, patiently waits for prey.",0
"Udele, the vulture, soars high in search of carrion.",0
"Nnụnụ ọka, the weaver bird, skillfully builds its nest.",0
"You are an Ewu, always following others without thinking.",0
"Don't act like a Nkịta, barking at every little inconvenience.",0
"Stop being an Agụ, sneaking around and spying on people.",0
"Why are you such an Ọgazị, making noise everywhere you go?",0
"She's like a Nnekwu, always clucking about everyone's business.",0
"Mbe, the tortoise, moves slowly across the sandy path.",0
"Iyi Ochi, the owl, hoots softly in the moonlit night.",0
"Eji ebu, the wasp, gathers nectar from the blooming flowers.",0
"Akpị, the scorpion, defends itself with its venomous sting.",0
"Enyi, the elephant, trumpets loudly to communicate with the herd.",0
"Nchịkị, the wall gecko, clings to the wall, waiting for insects.",0
"Ọkpọ, the worm, burrows into the soil, enriching it with nutrients.",0
"Ụkpara, the grasshopper, leaps from leaf to leaf in the garden.",0
"Mbe nnụnụ, the ostrich, runs swiftly across the open savannah.",0
"Eji ọkpọ, the praying mantis, gracefully perches on a branch.",0
"Ekwueme, the tortoise, tells wise tales by the fireside.",0
"Oke bekee, the guinea pig, enjoys nibbling on fresh vegetables.",0
"Ezi, the pig, rolls around in the mud for relief from the heat.",0
"Ugo, the eagle, soars gracefully above the mountain peaks.",0
"Nnụnụ, the bird, sings a melodious tune in the morning.",0
"Nshịkọ, the crab, scuttles sideways along the sandy shore.",0
"Enwe, the monkey, swings from branch to branch in the jungle.",0
"Eku, the rat, scavenges for crumbs in the kitchen.",0
"Erembụbara, the butterfly, flutters among the vibrant flowers.",0
"Ndo, the dove, coos softly in the peaceful garden.",0
"Ọtụrụ kpọkpọ, the woodpecker, taps rhythmically on the tree trunk.",0
"Oyimagana, the chameleon, changes colors to blend into its surroundings.",0
"Eji ọkpọ, the praying mantis, patiently waits for its prey.",0
"Ọsẹ, the squirrel, swiftly climbs the tall tree in search of nuts.",0
"Ọchịcha, the cockroach, scurries across the kitchen floor.",0
"Nnabe, the tortoise, retreats into its shell for protection.",0
"Tatambeneke, the dragonfly, hovers gracefully above the pond.",0
"Ebi Iyi, the eel, gracefully glides through the clear waters.",0
"Esu, the millipede, crawls slowly along the forest floor.",0
"Chekeleke, the egret, wades through the shallow waters.",0
"Ịnyịnya, the horse, gallops freely in the open field.",0
"Eji ọkpọ, the praying mantis, delicately balances on a flower.",0
"Eji, the antelope, gracefully leaps over the rocks.",0
"Ezi ọhịa, the hog, forages for food in the forest.",0
"Ugo, the eagle, builds a sturdy nest in the tall tree.",0
"Nkapị, the shrew, scurries through the underbrush.",0
"Ọkwa, the goose, swims gracefully on the calm lake.",0
"Idide, the earthworm, burrows deep into the rich soil.",0
"Enyi nnụnụ, the ostrich, raises its head high in the savannah.",0
"Ikiri, the bush baby, sleeps peacefully in the treetop.",0
"Ebu, the wasp, diligently collects nectar from blooming flowers.",0
"Ụsụ, the bat, gracefully glides through the night sky.",0
"Mbara, the frog, croaks softly by the pond.",0
"Ụkpana, the grasshopper, hops playfully in the meadow.",0
"Enyi, the elephant, gently grazes on lush vegetation.",0
"Eji ebu, the wasp, buzzes around the blossoming garden.",0
"Ekwueme, the tortoise, shares ancient wisdom with younger ones.",0
"Eji ọkpọ, the praying mantis, sways gently on a leaf.",0
"Nnụnụ, the bird, builds a cozy nest in the treetop.",0
"Nshịkọ, the crab, scuttles along the sandy beach.",0
"Erembụbara, the butterfly, dances gracefully among the flowers.",0
"Nnekwu, the hen, clucks contentedly in the backyard.",0
"Eji ọkpọ, the praying mantis, carefully explores a leaf.",0
"Eji ebu, the wasp, hums softly as it works on its hive.",0
"Ezi, the pig, enjoys a mud bath under the warm sun.",0
"Enwe, the monkey, swings joyfully from branch to branch.",0
"Ekwueme, the tortoise, shares tales of wisdom with the village.",0
"Ndo, the dove, coos a soothing lullaby in the evening.",0
"Eji ọkpọ, the praying mantis, delicately perches on a twig.",0
"Eke, the python, silently glides through the tall grass.",0
"Nchịkị, the wall gecko, crawls up the wall with precision.",0
"Udele, the vulture, soars gracefully in the cloudless sky.",0
"Enwe, the monkey, chatters playfully in the dense forest.",0
"Nnụnụ ọka, the weaver bird, skillfully weaves a nest.",0
"Ebi ogwu, the porcupine, roams peacefully in the moonlight.",0
"Ọkpọ, the worm, aerates the soil with its gentle movements.",0
"Eji ọkpọ, the praying mantis, exhibits patience in the garden.",0
"Ọchịcha, the cockroach, scurries across the kitchen floor.",0
"Ọsẹ, the squirrel, gathers acorns for the upcoming winter.",0
"Eku, the rat, nibbles on a piece of cheese in the corner.",0
